GM = 4.911328E12
orbital radius = 1837400.0 m
velocity = 1634.9241672822895 m/s
predicted period = 7061.3212003602575 s
state.size = 4
state = [ 1837400.0, 0.0, 0.0, 1634.9241672822895 ]

t, x, y, vx, vy, am, en, radius, v
67.5, 1834086.8697885058, 110291.04256193968, -98.13730865313755, 1631.9761338371354, 3.004009664964477E9, -1336488.5163818458, 1837399.9999999998, 1634.9241672822886
68.0, 1834037.6196186286, 111107.01968657949, -98.86336760656256, 1631.9323108846072, 3.0040096649644766E9, -1336488.516381846, 1837399.9999999998, 1634.9241672822886
68.5, 1833988.006424161, 111922.97481898755, -99.5894069912322, 1631.8881649116827, 3.0040096649644766E9, -1336488.516381846, 1837399.9999999998, 1634.9241672822886
69.0, 1833938.030214923, 112738.90779765589, -100.31542666343611, 1631.8436959270998, 3.0040096649644766E9, -1336488.5163818456, 1837400.0, 1634.9241672822886
69.5, 1833887.6910008069, 113554.81846108085, -101.04142647946789, 1631.798903939661, 3.004009664964477E9, -1336488.5163818456, 1837400.0, 1634.9241672822886
70.0, 1833836.9887917768, 114370.70664776322, -101.76740629562502, 1631.7537889582318, 3.0040096649644766E9, -1336488.5163818453, 1837400.0000000002, 1634.9241672822884
70.5, 1833785.9235978685, 115186.57219620823, -102.49336596820899, 1631.7083509917425, 3.004009664964477E9, -1336488.5163818456, 1837400.0, 1634.9241672822886
71.0, 1833734.4954291899, 116002.41494492561, -103.21930535352523, 1631.6625900491867, 3.004009664964477E9, -1336488.516381845, 1837400.0000000002, 1634.9241672822886
71.5, 1833682.7042959202, 116818.23473242958, -103.94522430788321, 1631.6165061396225, 3.0040096649644775E9, -1336488.5163818453, 1837400.0, 1634.9241672822886
72.0, 1833630.550208311, 117634.03139723893, -104.67112268759644, 1631.5700992721713, 3.004009664964477E9, -1336488.5163818456, 1837400.0, 1634.9241672822886
72.5, 1833578.0331766857, 118449.80477787698, -105.39700034898249, 1631.523369456019, 3.0040096649644775E9, -1336488.5163818453, 1837400.0, 1634.9241672822886
73.0, 1833525.153211439, 119265.55471287172, -106.12285714836304, 1631.476316700415, 3.004009664964477E9, -1336488.5163818453, 1837400.0, 1634.9241672822886
73.5, 1833471.9103230382, 120081.28104075571, -106.84869294206392, 1631.428941014673, 3.004009664964477E9, -1336488.516381845, 1837400.0000000002, 1634.9241672822886
74.0, 1833418.304522022, 120896.98360006626, -107.57450758641508, 1631.3812424081702, 3.0040096649644775E9, -1336488.5163818453, 1837400.0, 1634.9241672822886
74.5, 1833364.3358190006, 121712.66222934533, -108.30030093775069, 1631.3332208903482, 3.004009664964477E9, -1336488.5163818453, 1837400.0, 1634.9241672822886
75.0, 1833310.0042246568, 122528.31676713964, -109.02607285240911, 1631.284876470712, 3.004009664964477E9, -1336488.5163818453, 1837400.0, 1634.9241672822886
75.5, 1833255.3097497448, 123343.94705200067, -109.75182318673296, 1631.236209158831, 3.004009664964477E9, -1336488.5163818458, 1837399.9999999998, 1634.9241672822886
76.0, 1833200.2524050907, 124159.5529224847, -110.47755179706913, 1631.187218964338, 3.004009664964477E9, -1336488.5163818458, 1837399.9999999998, 1634.9241672822886
76.5, 1833144.8322015924, 124975.13421715285, -111.20325853976878, 1631.13790589693, 3.004009664964477E9, -1336488.5163818458, 1837399.9999999998, 1634.9241672822886
77.0, 1833089.0491502194, 125790.6907745711, -111.92894327118745, 1631.0882699663682, 3.004009664964477E9, -1336488.516381846, 1837399.9999999998, 1634.9241672822886
77.5, 1833032.9032620136, 126606.22243331034, -112.65460584768499, 1631.0383111824772, 3.0040096649644766E9, -1336488.516381846, 1837399.9999999998, 1634.9241672822886
78.0, 1832976.394548088, 127421.72903194635, -113.38024612562566, 1630.9880295551457, 3.004009664964476E9, -1336488.5163818463, 1837399.9999999998, 1634.9241672822884
78.5, 1832919.5230196281, 128237.2104090599, -114.10586396137813, 1630.9374250943265, 3.004009664964476E9, -1336488.516381846, 1837399.9999999995, 1634.9241672822886
79.0, 1832862.2886878909, 129052.66640323676, -114.83145921131552, 1630.886497810036, 3.004009664964476E9, -1336488.5163818463, 1837399.9999999995, 1634.9241672822884
79.5, 1832804.691564205, 129868.0968530677, -115.5570317318154, 1630.8352477123544, 3.004009664964476E9, -1336488.5163818463, 1837399.9999999998, 1634.9241672822884
80.0, 1832746.7316599714, 130683.50159714857, -116.28258137925985, 1630.7836748114264, 3.0040096649644766E9, -1336488.5163818463, 1837399.9999999998, 1634.9241672822884
